Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-07-2018,HDFC,EQ,1897.1,1900,1900,1874.65,1882.05,1879.7,1881.84,1687705,3.17599E+14,113066,1262479,0.748
04-07-2018,HDFC,EQ,1879.7,1883,1926.7,1882.1,1922.85,1922.5,1909.61,2609336,4.98281E+14,120542,1922216,0.7367
05-07-2018,HDFC,EQ,1922.5,1923.7,1937.15,1908.25,1930.5,1931.05,1926.73,1945712,3.74887E+14,110090,1432918,0.7364
06-07-2018,HDFC,EQ,1931.05,1926.1,1938.4,1912.25,1916.9,1916.85,1925.99,2550768,4.91276E+14,137133,2027891,0.795
09-07-2018,HDFC,EQ,1916.85,1919,1922,1901,1905.4,1904.9,1908.8,2377612,4.53839E+14,149847,1940844,0.8163
10-07-2018,HDFC,EQ,1904.9,1912,1947.6,1904.55,1945,1942.55,1924.81,1847583,3.55624E+14,117936,1368926,0.7409
11-07-2018,HDFC,EQ,1942.55,1946,1961.8,1920.3,1925,1928.1,1944.19,2224803,4.32545E+14,107953,1326943,0.5964
12-07-2018,HDFC,EQ,1928.1,1938,1979.9,1935,1959.05,1962.7,1963.41,2796172,5.49002E+14,145242,1946095,0.696
13-07-2018,HDFC,EQ,1962.7,1968,1978.35,1943.45,1974.8,1972.5,1970.08,2465425,4.85708E+14,101413,1712600,0.6946
16-07-2018,HDFC,EQ,1972.5,1979.95,1997.5,1973,1991,1991.2,1988.45,3693133,7.34359E+14,133124,3053075,0.8267
17-07-2018,HDFC,EQ,1991.2,1991,1998,1968,1997.7,1989.3,1983.3,2171225,4.30619E+14,116484,1542781,0.7106
18-07-2018,HDFC,EQ,1989.3,2005,2025,1998.8,2009,2009.45,2010.89,2796940,5.62433E+14,138986,1752076,0.6264
19-07-2018,HDFC,EQ,2009.45,2003,2005.05,1977,1988.45,1988.4,1989.14,1385205,2.75537E+14,90527,848519,0.6126
20-07-2018,HDFC,EQ,1988.4,1980.5,1982,1957.1,1975,1973.85,1970.28,1467884,2.89215E+14,93796,1090277,0.7428
23-07-2018,HDFC,EQ,1973.85,1969,1988,1959.55,1965.85,1966.85,1971.96,1254416,2.47366E+14,82388,835502,0.666
24-07-2018,HDFC,EQ,1966.85,1967.1,1982.8,1962.15,1978,1975.55,1973.74,1628220,3.21368E+14,84576,1319812,0.8106
